,DesignName,ParticipantID,TrialID,Block1,Block2,DT,OC,visualSearchTime,ErrorCount
217,Touchstone2,5,28,3,1,Contrast,high,2083,0
218,Touchstone2,5,29,3,3,Contrast,low,1531,0
219,Touchstone2,5,30,1,1,ContrastLighting,high,1688,0
220,Touchstone2,5,31,3,2,Contrast,medium,1088,0
221,Touchstone2,5,32,2,1,lighting,high,2250,0
222,Touchstone2,5,33,1,2,ContrastLighting,medium,4455,1
223,Touchstone2,5,34,2,2,lighting,medium,2184,0
224,Touchstone2,5,35,3,1,Contrast,high,1767,0
225,Touchstone2,5,36,3,3,Contrast,low,1629,0
226,Touchstone2,5,37,2,2,lighting,medium,1597,0
227,Touchstone2,5,38,1,2,ContrastLighting,medium,3342,0
228,Touchstone2,5,39,2,2,lighting,medium,2168,0
229,Touchstone2,5,40,1,3,ContrastLighting,low,8564,0
230,Touchstone2,5,41,1,2,ContrastLighting,medium,3289,0
231,Touchstone2,5,42,1,1,ContrastLighting,high,5710,0
232,Touchstone2,5,43,3,2,Contrast,medium,1225,0
233,Touchstone2,5,44,3,3,Contrast,low,1496,0
234,Touchstone2,5,45,2,2,lighting,medium,1500,0
235,Touchstone2,5,46,3,2,Contrast,medium,1543,0
236,Touchstone2,5,47,3,1,Contrast,high,1409,0
237,Touchstone2,5,48,3,3,Contrast,low,1616,0
238,Touchstone2,5,49,1,3,ContrastLighting,low,5293,0
239,Touchstone2,5,50,2,3,lighting,low,1811,0
240,Touchstone2,5,51,1,1,ContrastLighting,high,4426,0
241,Touchstone2,5,52,3,3,Contrast,low,1630,0
242,Touchstone2,5,53,2,1,lighting,high,1533,0
255,Touchstone2,6,12,2,3,ContrastLighting,medium,1970,0
256,Touchstone2,6,13,1,1,Contrast,low,1597,0
257,Touchstone2,6,14,2,2,ContrastLighting,high,5259,0
258,Touchstone2,6,15,2,3,ContrastLighting,medium,3620,0
259,Touchstone2,6,16,1,2,Contrast,high,1816,0
260,Touchstone2,6,17,2,1,ContrastLighting,low,2228,0
261,Touchstone2,6,18,1,2,Contrast,high,1404,0
262,Touchstone2,6,19,3,3,lighting,medium,1872,0
263,Touchstone2,6,20,3,1,lighting,low,1377,0
264,Touchstone2,6,21,2,2,ContrastLighting,high,3651,0
265,Touchstone2,6,22,2,2,ContrastLighting,high,6737,0
266,Touchstone2,6,23,3,3,lighting,medium,2861,0
267,Touchstone2,6,24,1,2,Contrast,high,1243,0
268,Touchstone2,6,25,2,1,ContrastLighting,low,1588,0
269,Touchstone2,6,26,1,3,Contrast,medium,1392,0
270,Touchstone2,6,27,1,2,Contrast,high,1815,0
271,Touchstone2,6,28,1,3,Contrast,medium,1776,0
272,Touchstone2,6,29,3,2,lighting,high,2187,0
273,Touchstone2,6,30,3,3,lighting,medium,2083,0
274,Touchstone2,6,31,2,3,ContrastLighting,medium,4584,0
275,Touchstone2,6,32,1,3,Contrast,medium,1452,0
276,Touchstone2,6,33,2,1,ContrastLighting,low,1600,0
277,Touchstone2,6,34,3,1,lighting,low,1411,0
278,Touchstone2,6,35,3,1,lighting,low,1445,0
279,Touchstone2,6,36,2,3,ContrastLighting,medium,4969,0
280,Touchstone2,6,37,1,1,Contrast,low,1178,0
281,Touchstone2,6,38,3,2,lighting,high,1985,0
