DesignName,ParticipantID,TrialID,Block1,Block2,DT,OC,visualSearchTime,ErrorCount
Touchstone2,3,4,2,2,lighting,medium,3826,0
Touchstone2,3,5,1,2,ContrastLighting,medium,2672,0
Touchstone2,3,6,3,1,Contrast,high,2290,0
Touchstone2,3,7,3,2,Contrast,medium,2210,0
Touchstone2,3,8,3,2,Contrast,medium,1870,0
Touchstone2,3,9,3,2,Contrast,medium,2033,0
Touchstone2,3,10,1,3,ContrastLighting,low,2703,0
Touchstone2,3,11,2,1,lighting,high,2466,0
Touchstone2,3,12,2,3,lighting,low,2901,0
Touchstone2,3,13,3,3,Contrast,low,1797,0
Touchstone2,3,14,3,2,Contrast,medium,2001,0
Touchstone2,3,15,1,2,ContrastLighting,medium,3600,0
Touchstone2,3,16,2,3,lighting,low,1830,0
Touchstone2,3,17,2,2,lighting,medium,1966,0
Touchstone2,3,18,2,3,lighting,low,2056,0
Touchstone2,3,19,1,3,ContrastLighting,low,3300,0
Touchstone2,3,20,3,3,Contrast,low,2057,0
Touchstone2,3,21,1,2,ContrastLighting,medium,4652,0
Touchstone2,3,22,2,1,lighting,high,3396,0
Touchstone2,3,23,3,1,Contrast,high,2309,0
Touchstone2,3,24,3,3,Contrast,low,2443,0
Touchstone2,3,25,2,1,lighting,high,2966,0
Touchstone2,3,26,2,3,lighting,low,3593,0
Touchstone2,3,27,3,1,Contrast,high,2310,0
Touchstone2,3,28,1,2,ContrastLighting,medium,3615,0
Touchstone2,3,29,1,1,ContrastLighting,high,6581,0
Touchstone2,3,30,2,1,lighting,high,2098,0
Touchstone2,3,31,3,3,Contrast,low,2118,0
Touchstone2,3,32,3,1,Contrast,high,1893,0
Touchstone2,3,33,1,1,ContrastLighting,high,7718,0
Touchstone2,3,34,1,2,ContrastLighting,medium,3372,0
Touchstone2,3,35,2,2,lighting,medium,1956,0
Touchstone2,3,36,1,3,ContrastLighting,low,2855,0
Touchstone2,3,37,1,1,ContrastLighting,high,3098,0
Touchstone2,3,38,3,3,Contrast,low,1884,0
Touchstone2,3,39,3,3,Contrast,low,2124,0
Touchstone2,3,40,2,2,lighting,medium,2172,0
Touchstone2,3,41,3,1,Contrast,high,1840,0
Touchstone2,3,42,3,2,Contrast,medium,1801,0
Touchstone2,3,43,1,1,ContrastLighting,high,5053,0
Touchstone2,3,44,2,2,lighting,medium,3387,0
Touchstone2,3,45,2,3,lighting,low,2391,0
Touchstone2,3,46,2,1,lighting,high,2143,0
Touchstone2,3,47,1,3,ContrastLighting,low,3334,0
Touchstone2,3,48,1,3,ContrastLighting,low,4537,0
Touchstone2,3,49,2,2,lighting,medium,2172,0
Touchstone2,3,50,1,1,ContrastLighting,high,3653,0
Touchstone2,3,51,2,3,lighting,low,3136,0
Touchstone2,3,52,2,1,lighting,high,2114,0
Touchstone2,3,53,1,2,ContrastLighting,medium,4930,0
Touchstone2,4,0,2,2,Contrast,low,2773,0
Touchstone2,4,1,2,3,Contrast,high,2503,0
Touchstone2,4,2,2,2,Contrast,low,2240,0
Touchstone2,4,3,2,2,Contrast,low,1716,0
Touchstone2,4,4,2,1,Contrast,medium,1808,0
Touchstone2,4,5,3,2,ContrastLighting,low,14715,1
Touchstone2,4,6,2,1,Contrast,medium,2166,0
Touchstone2,4,7,2,2,Contrast,low,2481,0
Touchstone2,4,8,3,3,ContrastLighting,high,28181,1
Touchstone2,4,9,3,1,ContrastLighting,medium,11643,0
Touchstone2,4,10,1,1,lighting,medium,5400,0
Touchstone2,4,11,3,3,ContrastLighting,high,29926,0
Touchstone2,4,12,1,1,lighting,medium,3927,0
Touchstone2,4,13,2,2,Contrast,low,1969,0
Touchstone2,4,14,1,1,lighting,medium,1956,0
Touchstone2,4,15,1,2,lighting,low,2437,0
Touchstone2,4,16,3,3,ContrastLighting,high,22153,1
Touchstone2,4,17,3,3,ContrastLighting,high,7562,1
Touchstone2,4,18,2,1,Contrast,medium,2178,0
Touchstone2,4,19,2,1,Contrast,medium,1916,0
Touchstone2,4,20,1,3,lighting,high,4351,0
Touchstone2,4,21,3,3,ContrastLighting,high,6583,0
Touchstone2,4,22,1,2,lighting,low,2783,0
Touchstone2,4,23,1,3,lighting,high,2707,0
Touchstone2,4,24,3,3,ContrastLighting,high,9889,0
Touchstone2,4,25,1,2,lighting,low,2688,0
Touchstone2,4,26,2,1,Contrast,medium,1734,0
Touchstone2,4,27,3,2,ContrastLighting,low,3220,1
Touchstone2,4,28,2,3,Contrast,high,3276,0
