DesignName,ParticipantID,TrialID,Block1,Block2,DT,OC,visualSearchTime,ErrorCount
Touchstone2,3,16,1,2,Contrast,high,2128,0
Touchstone2,3,17,3,1,lighting,low,1227,0
Touchstone2,3,18,1,1,Contrast,low,2189,0
Touchstone2,3,19,2,3,ContrastLighting,medium,11976,2
Touchstone2,3,20,2,1,ContrastLighting,low,3278,0
Touchstone2,3,21,3,2,lighting,high,2953,0
Touchstone2,3,22,3,3,lighting,medium,2243,0
Touchstone2,3,23,2,3,ContrastLighting,medium,2931,0
Touchstone2,3,24,1,3,Contrast,medium,2075,0
Touchstone2,3,25,2,2,ContrastLighting,high,8757,1
Touchstone2,3,26,2,2,ContrastLighting,high,3453,0
Touchstone2,3,27,2,3,ContrastLighting,medium,12989,2
Touchstone2,3,28,2,1,ContrastLighting,low,7058,0
Touchstone2,3,29,2,2,ContrastLighting,high,5955,0
Touchstone2,3,30,2,2,ContrastLighting,high,14268,0
Touchstone2,3,31,3,3,lighting,medium,2987,0
Touchstone2,3,32,2,3,ContrastLighting,medium,4479,0
Touchstone2,3,33,3,3,lighting,medium,2746,0
Touchstone2,3,34,3,2,lighting,high,3258,0
Touchstone2,3,35,3,2,lighting,high,3004,0
Touchstone2,3,36,3,3,lighting,medium,2310,0
Touchstone2,3,37,1,1,Contrast,low,1827,0
Touchstone2,3,38,3,2,lighting,high,2143,0
Touchstone2,3,39,1,1,Contrast,low,1914,0
Touchstone2,3,40,2,1,ContrastLighting,low,3660,0
Touchstone2,3,41,2,3,ContrastLighting,medium,18288,0
Touchstone2,3,42,1,3,Contrast,medium,2084,0
Touchstone2,3,43,3,1,lighting,low,2165,0
Touchstone2,3,44,2,1,ContrastLighting,low,2659,0
Touchstone2,3,45,1,2,Contrast,high,2185,0
Touchstone2,3,46,2,3,ContrastLighting,medium,7591,2
Touchstone2,3,47,1,2,Contrast,high,2267,0
Touchstone2,3,48,1,1,Contrast,low,1956,0
Touchstone2,3,49,1,3,Contrast,medium,2422,0
Touchstone2,3,50,3,3,lighting,medium,3184,0
Touchstone2,3,51,1,2,Contrast,high,2070,0
Touchstone2,3,52,3,2,lighting,high,2451,0
Touchstone2,3,53,3,1,lighting,low,2006,0
Touchstone2,4,12,1,1,lighting,medium,2231,0
Touchstone2,4,13,1,2,lighting,low,2983,0
Touchstone2,4,14,1,2,lighting,low,3416,1
Touchstone2,4,15,2,1,Contrast,medium,5119,0
Touchstone2,4,16,1,3,lighting,high,4766,1
Touchstone2,4,17,1,1,lighting,medium,3264,0
Touchstone2,4,18,1,3,lighting,high,2649,0
Touchstone2,4,19,3,1,ContrastLighting,medium,4260,0
Touchstone2,4,20,3,1,ContrastLighting,medium,6692,0
Touchstone2,4,21,1,2,lighting,low,1132,0
Touchstone2,4,22,2,2,Contrast,low,1687,0
Touchstone2,4,23,2,3,Contrast,high,1932,0
Touchstone2,4,24,3,3,ContrastLighting,high,4470,0
Touchstone2,4,25,3,1,ContrastLighting,medium,3548,0
Touchstone2,4,26,2,1,Contrast,medium,2073,0
Touchstone2,4,27,2,2,Contrast,low,1116,0
Touchstone2,4,28,1,1,lighting,medium,1382,0
Touchstone2,4,29,1,2,lighting,low,1125,0
Touchstone2,4,30,3,2,ContrastLighting,low,6628,1
Touchstone2,4,31,3,2,ContrastLighting,low,3348,0
Touchstone2,4,32,1,3,lighting,high,1746,0
Touchstone2,4,33,3,2,ContrastLighting,low,6499,0
Touchstone2,4,34,1,1,lighting,medium,2699,0
Touchstone2,4,35,1,1,lighting,medium,1622,0
Touchstone2,4,36,2,3,Contrast,high,2218,0
Touchstone2,4,37,2,1,Contrast,medium,1874,0
Touchstone2,4,38,2,1,Contrast,medium,1465,0
Touchstone2,4,39,3,3,ContrastLighting,high,4127,0
Touchstone2,4,40,2,2,Contrast,low,2082,0
Touchstone2,4,41,3,2,ContrastLighting,low,2610,0
Touchstone2,4,42,1,3,lighting,high,1863,0
Touchstone2,4,43,1,3,lighting,high,1723,0
Touchstone2,4,44,1,1,lighting,medium,1305,0
Touchstone2,4,45,3,1,ContrastLighting,medium,2522,0
Touchstone2,4,46,2,2,Contrast,low,1324,0
Touchstone2,4,47,2,3,Contrast,high,1167,0
Touchstone2,4,48,3,3,ContrastLighting,high,15724,0
Touchstone2,4,49,1,3,lighting,high,1535,0
Touchstone2,4,50,2,2,Contrast,low,1183,0
Touchstone2,4,51,3,3,ContrastLighting,high,7405,0
Touchstone2,4,52,2,1,Contrast,medium,1403,0
Touchstone2,4,53,2,3,Contrast,high,1150,0
Touchstone2,5,3,1,1,ContrastLighting,high,5244,0
Touchstone2,5,4,2,3,lighting,low,2281,0
Touchstone2,5,5,1,2,ContrastLighting,medium,5357,0
Touchstone2,5,6,3,1,Contrast,high,2376,0
Touchstone2,5,7,1,3,ContrastLighting,low,3961,0
Touchstone2,5,8,1,3,ContrastLighting,low,1572,0
Touchstone2,5,9,2,1,lighting,high,1415,0
Touchstone2,5,10,1,3,ContrastLighting,low,2870,0
Touchstone2,5,11,2,3,lighting,low,1348,0
Touchstone2,5,12,1,2,ContrastLighting,medium,2825,0
Touchstone2,5,13,1,1,ContrastLighting,high,6339,1
Touchstone2,5,14,3,3,Contrast,low,2242,0
Touchstone2,5,15,3,1,Contrast,high,1702,0
Touchstone2,5,16,3,2,Contrast,medium,1740,0
Touchstone2,5,17,2,3,lighting,low,1985,0
Touchstone2,5,18,2,1,lighting,high,2493,0
Touchstone2,5,19,1,2,ContrastLighting,medium,4353,0
Touchstone2,5,20,3,2,Contrast,medium,1537,0
Touchstone2,5,21,2,3,lighting,low,1637,0
Touchstone2,5,22,1,3,ContrastLighting,low,2913,0
Touchstone2,5,23,2,1,lighting,high,1779,0
Touchstone2,5,24,2,2,lighting,medium,1195,0
Touchstone2,5,25,3,1,Contrast,high,1229,0
Touchstone2,5,26,1,1,ContrastLighting,high,5226,1
Touchstone2,5,27,2,3,lighting,low,1589,0
Touchstone2,5,28,3,1,Contrast,high,2083,0
Touchstone2,5,29,3,3,Contrast,low,1531,0
Touchstone2,5,30,1,1,ContrastLighting,high,1688,0
Touchstone2,5,31,3,2,Contrast,medium,1088,0
Touchstone2,5,32,2,1,lighting,high,2250,0
Touchstone2,5,33,1,2,ContrastLighting,medium,4455,1
Touchstone2,5,34,2,2,lighting,medium,2184,0
Touchstone2,5,35,3,1,Contrast,high,1767,0
Touchstone2,5,36,3,3,Contrast,low,1629,0
Touchstone2,5,37,2,2,lighting,medium,1597,0
Touchstone2,5,38,1,2,ContrastLighting,medium,3342,0
Touchstone2,5,39,2,2,lighting,medium,2168,0
Touchstone2,5,40,1,3,ContrastLighting,low,8564,0
Touchstone2,5,41,1,2,ContrastLighting,medium,3289,0
Touchstone2,5,42,1,1,ContrastLighting,high,5710,0
Touchstone2,5,43,3,2,Contrast,medium,1225,0
Touchstone2,5,44,3,3,Contrast,low,1496,0
Touchstone2,5,45,2,2,lighting,medium,1500,0
Touchstone2,5,46,3,2,Contrast,medium,1543,0
Touchstone2,5,47,3,1,Contrast,high,1409,0
Touchstone2,5,48,3,3,Contrast,low,1616,0
Touchstone2,5,49,1,3,ContrastLighting,low,5293,0
Touchstone2,5,50,2,3,lighting,low,1811,0
Touchstone2,5,51,1,1,ContrastLighting,high,4426,0
Touchstone2,5,52,3,3,Contrast,low,1630,0
Touchstone2,5,53,2,1,lighting,high,1533,0
Touchstone2,6,0,1,1,Contrast,low,2334,0
Touchstone2,6,1,3,2,lighting,high,2564,0
Touchstone2,6,2,3,2,lighting,high,17174,0
Touchstone2,6,3,1,3,Contrast,medium,1981,0
Touchstone2,6,4,1,2,Contrast,high,1795,0
Touchstone2,6,5,2,2,ContrastLighting,high,6624,0
Touchstone2,6,6,1,1,Contrast,low,1355,0
Touchstone2,6,7,3,1,lighting,low,1616,0
Touchstone2,6,8,1,3,Contrast,medium,2153,0
Touchstone2,6,9,2,2,ContrastLighting,high,8137,0
Touchstone2,6,10,3,2,lighting,high,2528,0
Touchstone2,6,11,3,1,lighting,low,1323,0
Touchstone2,6,12,2,3,ContrastLighting,medium,1970,0
Touchstone2,6,13,1,1,Contrast,low,1597,0
Touchstone2,6,14,2,2,ContrastLighting,high,5259,0
Touchstone2,6,15,2,3,ContrastLighting,medium,3620,0
Touchstone2,6,16,1,2,Contrast,high,1816,0
Touchstone2,6,17,2,1,ContrastLighting,low,2228,0
Touchstone2,6,18,1,2,Contrast,high,1404,0
Touchstone2,6,19,3,3,lighting,medium,1872,0
Touchstone2,6,20,3,1,lighting,low,1377,0
Touchstone2,6,21,2,2,ContrastLighting,high,3651,0
Touchstone2,6,22,2,2,ContrastLighting,high,6737,0
Touchstone2,6,23,3,3,lighting,medium,2861,0
Touchstone2,6,24,1,2,Contrast,high,1243,0
Touchstone2,6,25,2,1,ContrastLighting,low,1588,0
Touchstone2,6,26,1,3,Contrast,medium,1392,0
Touchstone2,6,27,1,2,Contrast,high,1815,0
Touchstone2,6,28,1,3,Contrast,medium,1776,0
Touchstone2,6,29,3,2,lighting,high,2187,0
Touchstone2,6,30,3,3,lighting,medium,2083,0
Touchstone2,6,31,2,3,ContrastLighting,medium,4584,0
Touchstone2,6,32,1,3,Contrast,medium,1452,0
Touchstone2,6,33,2,1,ContrastLighting,low,1600,0
Touchstone2,6,34,3,1,lighting,low,1411,0
Touchstone2,6,35,3,1,lighting,low,1445,0
Touchstone2,6,36,2,3,ContrastLighting,medium,4969,0
Touchstone2,6,37,1,1,Contrast,low,1178,0
Touchstone2,6,38,3,2,lighting,high,1985,0
Touchstone2,6,39,1,1,Contrast,low,1886,0
Touchstone2,6,40,2,3,ContrastLighting,medium,2584,0
Touchstone2,6,41,2,3,ContrastLighting,medium,1870,0
Touchstone2,6,42,1,2,Contrast,high,2744,0
Touchstone2,6,43,3,3,lighting,medium,2239,0
Touchstone2,6,44,2,1,ContrastLighting,low,2123,0
Touchstone2,6,45,3,2,lighting,high,1811,0
Touchstone2,6,46,1,3,Contrast,medium,1237,0
Touchstone2,6,47,2,2,ContrastLighting,high,3296,0
Touchstone2,6,48,2,1,ContrastLighting,low,3269,0
Touchstone2,6,49,1,1,Contrast,low,1325,0
Touchstone2,6,50,3,1,lighting,low,1384,0
Touchstone2,6,51,2,1,ContrastLighting,low,2843,0
Touchstone2,6,52,3,3,lighting,medium,1721,0
Touchstone2,6,53,3,3,lighting,medium,2181,0
